# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2208694	2209632	-							ABUW_RS10810	939		old_locus_tag=ABUW_2223
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2208694	2209632	-	WP_000881924.1	WP_000881924.1		ABC transporter permease			ABUW_RS10810	939	312	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2209645	2211678	-							ABUW_RS10815	2034		old_locus_tag=ABUW_2224
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2209645	2211678	-	WP_000719397.1	WP_000719397.1		Zn-dependent oligopeptidase			ABUW_RS10815	2034	677	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2211679	2213502	-							ABUW_RS10820	1824		old_locus_tag=ABUW_2225
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2211679	2213502	-	WP_085920588.1	WP_085920588.1		ABC transporter substrate-binding protein			ABUW_RS10820	1824	607	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2213518	2215308	-							ABUW_RS10825	1791		old_locus_tag=ABUW_2226
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2213518	2215308	-	WP_001993958.1	WP_001993958.1		ABC transporter substrate-binding protein			ABUW_RS10825	1791	596	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2216167	2218797	+							ABUW_RS10830	2631		old_locus_tag=ABUW_2228
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2216167	2218797	+	WP_085920606.1	WP_085920606.1		TonB-dependent receptor			ABUW_RS10830	2631	876	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2218907	2219623	+							ABUW_RS10835	717		old_locus_tag=ABUW_2229
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2218907	2219623	+	WP_000525882.1	WP_000525882.1		energy transducer TonB			ABUW_RS10835	717	238	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2219664	2220545	+							ABUW_RS10840	882		old_locus_tag=ABUW_2230
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2219664	2220545	+	WP_002011828.1	WP_002011828.1		MotA/TolQ/ExbB proton channel family protein			ABUW_RS10840	882	293	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2220561	2220983	+							ABUW_RS10845	423		old_locus_tag=ABUW_2231
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2220561	2220983	+	WP_000525864.1	WP_000525864.1		biopolymer transporter ExbD			ABUW_RS10845	423	140	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2221003	2221416	+							ABUW_RS10850	414		old_locus_tag=ABUW_2232
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2221003	2221416	+	WP_000525676.1	WP_000525676.1		biopolymer transporter ExbD			ABUW_RS10850	414	137	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2221456	2221617	-							ABUW_RS10855	162		old_locus_tag=ABUW_2233
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2221456	2221617	-	WP_000609117.1	WP_000609117.1		hypothetical protein			ABUW_RS10855	162	53	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2221720	2223885	-							ABUW_RS10860	2166		old_locus_tag=ABUW_2234
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2221720	2223885	-	WP_000126961.1	WP_000126961.1		malate synthase G			ABUW_RS10860	2166	721	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2224254	2225396	-							ABUW_RS10865	1143		old_locus_tag=ABUW_2235
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2224254	2225396	-	WP_000933387.1	WP_000933387.1		cell division protein ZapE			ABUW_RS10865	1143	380	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2225480	2226457	-							ABUW_RS10870	978		old_locus_tag=ABUW_2236
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2225480	2226457	-	WP_085920605.1	WP_085920605.1		AraC family transcriptional regulator			ABUW_RS10870	978	325	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2226621	2228168	+							ABUW_RS10875	1548		old_locus_tag=ABUW_2237
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2226621	2228168	+	WP_085920587.1	WP_085920587.1		NAD(P)/FAD-dependent oxidoreductase			ABUW_RS10875	1548	515	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2228218	2229129	+							ABUW_RS10880	912		old_locus_tag=ABUW_2238
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2228218	2229129	+	WP_001190745.1	WP_001190745.1		lysine exporter LysO family protein			ABUW_RS10880	912	303	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2229126	2229824	-					pyrF		ABUW_RS10885	699		old_locus_tag=ABUW_2239
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2229126	2229824	-	WP_000392931.1	WP_000392931.1		orotidine-5'-phosphate decarboxylase	pyrF		ABUW_RS10885	699	232	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2229990	2230355	-							ABUW_RS10890	366		old_locus_tag=ABUW_2240
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2229990	2230355	-	WP_001269278.1	WP_001269278.1		DUF1049 domain-containing protein			ABUW_RS10890	366	121	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2230380	2230682	-							ABUW_RS10895	303		old_locus_tag=ABUW_2241
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2230380	2230682	-	WP_000205997.1	WP_000205997.1		integration host factor subunit beta			ABUW_RS10895	303	100	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2230839	2232512	-					rpsA		ABUW_RS10900	1674		old_locus_tag=ABUW_2242
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2230839	2232512	-	WP_000140309.1	WP_000140309.1		30S ribosomal protein S1	rpsA		ABUW_RS10900	1674	557	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2232617	2233303	-							ABUW_RS10905	687		old_locus_tag=ABUW_2243
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2232617	2233303	-	WP_000218021.1	WP_000218021.1		(d)CMP kinase			ABUW_RS10905	687	228	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2233311	2233754	-							ABUW_RS10910	444		old_locus_tag=ABUW_2244
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2233311	2233754	-	WP_001246675.1	WP_001246675.1		SRPBCC family protein			ABUW_RS10910	444	147	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2233824	2234327	-					tadA		ABUW_RS10915	504		old_locus_tag=ABUW_2245
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2233824	2234327	-	WP_001997771.1	WP_001997771.1		tRNA adenosine(34) deaminase TadA	tadA		ABUW_RS10915	504	167	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2234334	2235458	-							ABUW_RS10920	1125		old_locus_tag=ABUW_2246
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2234334	2235458	-	WP_001983908.1	WP_001983908.1		enoyl-CoA hydratase/isomerase family protein			ABUW_RS10920	1125	374	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2235455	2236168	-					ung		ABUW_RS10925	714		old_locus_tag=ABUW_2247
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2235455	2236168	-	WP_001177527.1	WP_001177527.1		uracil-DNA glycosylase	ung		ABUW_RS10925	714	237	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2236219	2236815	-							ABUW_RS10930	597		old_locus_tag=ABUW_2248
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2236219	2236815	-	WP_000908449.1	WP_000908449.1		6-carboxytetrahydropterin synthase			ABUW_RS10930	597	198	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2237045	2238004	-					gspK		ABUW_RS10935	960		old_locus_tag=ABUW_2249
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2237045	2238004	-	WP_000301478.1	WP_000301478.1		type II secretion system minor pseudopilin GspK	gspK		ABUW_RS10935	960	319	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2238004	2238705	-					gspJ		ABUW_RS10940	702		old_locus_tag=ABUW_2250
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2238004	2238705	-	WP_000594579.1	WP_000594579.1		type II secretion system minor pseudopilin GspJ	gspJ		ABUW_RS10940	702	233	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2238705	2239085	-					gspI		ABUW_RS10945	381		old_locus_tag=ABUW_2251
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2238705	2239085	-	WP_000836914.1	WP_000836914.1		type II secretion system minor pseudopilin GspI	gspI		ABUW_RS10945	381	126	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2239075	2239629	-							ABUW_RS10950	555		old_locus_tag=ABUW_2252
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2239075	2239629	-	WP_000841373.1	WP_000841373.1		type II secretion system protein			ABUW_RS10950	555	184	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2239639	2240247	-							ABUW_RS10955	609		old_locus_tag=ABUW_2253
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2239639	2240247	-	WP_000375838.1	WP_000375838.1		TetR/AcrR family transcriptional regulator			ABUW_RS10955	609	202	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2240285	2241058	-							ABUW_RS10960	774		old_locus_tag=ABUW_2254
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2240285	2241058	-	WP_000497300.1	WP_000497300.1		TatD family hydrolase			ABUW_RS10960	774	257	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2241076	2241417	-							ABUW_RS10965	342		old_locus_tag=ABUW_2255
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2241076	2241417	-	WP_001183027.1	WP_001183027.1		PilZ domain-containing protein			ABUW_RS10965	342	113	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2241429	2242409	-							ABUW_RS10970	981		old_locus_tag=ABUW_2256
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2241429	2242409	-	WP_001075416.1	WP_001075416.1		DNA polymerase III subunit delta'			ABUW_RS10970	981	326	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2242421	2243182	-					kdsB		ABUW_RS10975	762		old_locus_tag=ABUW_2257
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2242421	2243182	-	WP_000680692.1	WP_000680692.1		3-deoxy-manno-octulosonate cytidylyltransferase	kdsB		ABUW_RS10975	762	253	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2243192	2244202	-							ABUW_RS10980	1011		old_locus_tag=ABUW_2258
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2243192	2244202	-	WP_000050479.1	WP_000050479.1		tetraacyldisaccharide 4'-kinase			ABUW_RS10980	1011	336	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2244205	2245932	-					msbA		ABUW_RS10985	1728		old_locus_tag=ABUW_2259
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2244205	2245932	-	WP_001070729.1	WP_001070729.1		lipid A export permease/ATP-binding protein MsbA	msbA		ABUW_RS10985	1728	575	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2245929	2246357	-							ABUW_RS10990	429		old_locus_tag=ABUW_2260
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2245929	2246357	-	WP_000669684.1	WP_000669684.1		biopolymer transporter ExbD			ABUW_RS10990	429	142	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2246373	2247008	-							ABUW_RS10995	636		old_locus_tag=ABUW_2261
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2246373	2247008	-	WP_000264044.1	WP_000264044.1		MotA/TolQ/ExbB proton channel family protein			ABUW_RS10995	636	211	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2247058	2247945	-							ABUW_RS11000	888		old_locus_tag=ABUW_2262
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2247058	2247945	-	WP_000023429.1	WP_000023429.1		ParB/RepB/Spo0J family partition protein			ABUW_RS11000	888	295	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2247942	2248724	-							ABUW_RS11005	783		old_locus_tag=ABUW_2263
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2247942	2248724	-	WP_000057212.1	WP_000057212.1		ParA family protein			ABUW_RS11005	783	260	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2248746	2249378	-					rsmG		ABUW_RS11010	633		old_locus_tag=ABUW_2264
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2248746	2249378	-	WP_000553193.1	WP_000553193.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		ABUW_RS11010	633	210	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2249466	2250155	-							ABUW_RS11015	690		old_locus_tag=ABUW_2265
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2249466	2250155	-	WP_000646460.1	WP_000646460.1		nucleotidyltransferase family protein			ABUW_RS11015	690	229	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2250155	2251168	-							ABUW_RS11020	1014		old_locus_tag=ABUW_2266
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2250155	2251168	-	WP_001096103.1	WP_001096103.1		phosphotransferase			ABUW_RS11020	1014	337	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2251289	2253727	+							ABUW_RS11025	2439		old_locus_tag=ABUW_2267
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2251289	2253727	+	WP_000682628.1	WP_000682628.1		LPS-assembly protein LptD			ABUW_RS11025	2439	812	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2253727	2255037	+							ABUW_RS11030	1311		old_locus_tag=ABUW_2268
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2253727	2255037	+	WP_000850091.1	WP_000850091.1		peptidylprolyl isomerase			ABUW_RS11030	1311	436	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2255156	2256193	-							ABUW_RS11035	1038		old_locus_tag=ABUW_2269
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2255156	2256193	-	WP_001174011.1	WP_001174011.1		fructose-bisphosphate aldolase class II			ABUW_RS11035	1038	345	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2256315	2256557	-							ABUW_RS11040	243		old_locus_tag=ABUW_2270
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2256315	2256557	-	WP_001049822.1	WP_001049822.1		hypothetical protein			ABUW_RS11040	243	80	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2256682	2257869	-							ABUW_RS11045	1188		old_locus_tag=ABUW_2271
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2256682	2257869	-	WP_001011093.1	WP_001011093.1		phosphoglycerate kinase			ABUW_RS11045	1188	395	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2258008	2258391	+							ABUW_RS11050	384		old_locus_tag=ABUW_2272
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2258008	2258391	+	WP_000022187.1	WP_000022187.1		DUF2237 domain-containing protein			ABUW_RS11050	384	127	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2258391	2258984	+					maf		ABUW_RS11055	594		old_locus_tag=ABUW_2273
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2258391	2258984	+	WP_000812866.1	WP_000812866.1		septum formation protein Maf	maf		ABUW_RS11055	594	197	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2259015	2260178	+							ABUW_RS11060	1164		old_locus_tag=ABUW_2274
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2259015	2260178	+	WP_000133515.1	WP_000133515.1		cupin domain-containing protein			ABUW_RS11060	1164	387	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2260516	2261082	+							ABUW_RS11065	567		old_locus_tag=ABUW_2275
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2260516	2261082	+	WP_000037059.1	WP_000037059.1		TetR/AcrR family transcriptional regulator			ABUW_RS11065	567	188	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2261557	2261865	+							ABUW_RS11070	309		old_locus_tag=ABUW_2276
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2261557	2261865	+	WP_000651464.1	WP_000651464.1		helix-turn-helix transcriptional regulator			ABUW_RS11070	309	102	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2262287	2263489	+					sstT		ABUW_RS11075	1203		old_locus_tag=ABUW_2277
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2262287	2263489	+	WP_000889009.1	WP_000889009.1		serine/threonine transporter SstT	sstT		ABUW_RS11075	1203	400	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2263495	2264175	+							ABUW_RS11080	681		old_locus_tag=ABUW_2278
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2263495	2264175	+	WP_001116532.1	WP_001116532.1		DUF1275 domain-containing protein			ABUW_RS11080	681	226	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2264179	2264715	+							ABUW_RS11085	537		old_locus_tag=ABUW_2279
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2264179	2264715	+	WP_000240310.1	WP_000240310.1		DUF2058 domain-containing protein			ABUW_RS11085	537	178	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2265091	2266938	+							ABUW_RS11090	1848		old_locus_tag=ABUW_2280
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2265091	2266938	+	WP_000922246.1	WP_000922246.1		ABC transporter ATP-binding protein			ABUW_RS11090	1848	615	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2266938	2267378	+							ABUW_RS11095	441		old_locus_tag=ABUW_2281
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2266938	2267378	+	WP_000966086.1	WP_000966086.1		MaoC family dehydratase			ABUW_RS11095	441	146	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2267487	2268512	+							ABUW_RS11100	1026		old_locus_tag=ABUW_2282
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2267487	2268512	+	WP_000705524.1	WP_000705524.1		AraC family transcriptional regulator			ABUW_RS11100	1026	341	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2268551	2268925	+					gcvH		ABUW_RS11105	375		old_locus_tag=ABUW_2283
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2268551	2268925	+	WP_001016343.1	WP_001016343.1		glycine cleavage system protein GcvH	gcvH		ABUW_RS11105	375	124	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2269020	2269727	+							ABUW_RS11110	708		old_locus_tag=ABUW_2284
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2269020	2269727	+	WP_085920583.1	WP_085920583.1		NAD-dependent deacylase			ABUW_RS11110	708	235	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2270136	2271626	+					putP		ABUW_RS11115	1491		old_locus_tag=ABUW_2285
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2270136	2271626	+	WP_000119795.1	WP_000119795.1		sodium/proline symporter PutP	putP		ABUW_RS11115	1491	496	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2271659	2272147	-							ABUW_RS11120	489		old_locus_tag=ABUW_2286
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2271659	2272147	-	WP_001014233.1	WP_001014233.1		Lrp/AsnC ligand binding domain-containing protein			ABUW_RS11120	489	162	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2272257	2276024	+					putA		ABUW_RS11125	3768		old_locus_tag=ABUW_2287
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2272257	2276024	+	WP_012300629.1	WP_012300629.1		trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase	putA		ABUW_RS11125	3768	1255	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2276130	2276603	+							ABUW_RS11130	474		old_locus_tag=ABUW_2288
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2276130	2276603	+	WP_000575827.1	WP_000575827.1		GrpB family protein			ABUW_RS11130	474	157	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2276707	2277792	+					trmA		ABUW_RS11135	1086		old_locus_tag=ABUW_2289
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2276707	2277792	+	WP_000204682.1	WP_000204682.1		tRNA (uridine(54)-C5)-methyltransferase TrmA	trmA		ABUW_RS11135	1086	361	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2278041	2278271	+							ABUW_RS11140	231		old_locus_tag=ABUW_2290
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2278041	2278271	+	WP_000011679.1	WP_000011679.1		hypothetical protein			ABUW_RS11140	231	76	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2278307	2279053	-							ABUW_RS11145	747		old_locus_tag=ABUW_2291
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2278307	2279053	-	WP_000699303.1	WP_000699303.1		phosphodiester glycosidase family protein			ABUW_RS11145	747	248	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2279239	2279829	+							ABUW_RS11150	591		old_locus_tag=ABUW_2292
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2279239	2279829	+	WP_001187972.1	WP_001187972.1		lecithin retinol acyltransferase family protein			ABUW_RS11150	591	196	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2279875	2280465	-							ABUW_RS11155	591		old_locus_tag=ABUW_2293
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2279875	2280465	-	WP_000550334.1	WP_000550334.1		polyisoprenoid-binding protein			ABUW_RS11155	591	196	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2280680	2281087	+							ABUW_RS11160	408		old_locus_tag=ABUW_2294
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2280680	2281087	+	WP_000248280.1	WP_000248280.1		OsmC family protein			ABUW_RS11160	408	135	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2281141	2283129	-					tkt		ABUW_RS11165	1989		old_locus_tag=ABUW_2295
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2281141	2283129	-	WP_000211068.1	WP_000211068.1		transketolase	tkt		ABUW_RS11165	1989	662	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2283653	2284819	+							ABUW_RS11170	1167		old_locus_tag=ABUW_2296
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2283653	2284819	+	WP_001209545.1	WP_001209545.1		methionine adenosyltransferase			ABUW_RS11170	1167	388	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2284943	2285083	-							ABUW_RS20405	141		
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2284943	2285083	-	WP_000458766.1	WP_000458766.1		hypothetical protein			ABUW_RS20405	141	46	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2285450	2285635	+							ABUW_RS11180	186		old_locus_tag=ABUW_2298
CDS	with_protein	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2285450	2285635	+	WP_000192618.1	WP_000192618.1		hypothetical protein			ABUW_RS11180	186	61	
gene	protein_coding	GCF_000963815.1	Primary Assembly	chromosome		NZ_CP008706.1	2285699	2286259	-							ABUW_RS11185	561		old_locus_tag=ABUW_2299
